Faculty,CurrentInstitution,HSCGraduationYear,Gender,CollegeCategory,CollegeLocation,HSCLearningSource,CollegeAttendance,HSCMath,HSCPhysics,HSCChemistry,FamilyMembers,BirthOrder,HouseholdIncomeYearly,HSCMonthlyExpenditure,InternetAvailability,ComputerAvailability,Year1CGPA,UniversityPreferenceOrder,DepartmentPreferenceOrder,FatherEducation,MotherEducation,FatherEmploymentSector,MotherEmploymentSector,ResearchParticipationBinary
Others,CUET,2022,Male (পুরুষ),Public (সরকারি),Semi-urban area (আধা-নগর এলাকা),College classes (কলেজ ক্লাস),Regularly (75–89%) (নিয়মিত (৭৫–৮৯%)),160 - 190 (১৬০ - ১৯০),190 - 200 (১৯০ - ২০০),160 - 190 (১৬০ - ১৯০),4 - 5 (৪ - ৫),First-child,Less than 5  Lakhs (৫ লাখের কম),"Less than 5,000 (৫,০০০ এর কম)",Unavailable (ইন্টারনেট সুবিধা ছিল না),Unavailable (ছিল না),3.00 - 3.25 (৩.০০ - ৩.২৫),3rd choice (৩য় পছন্দ),3rd choice (৩য় পছন্দ),Undergraduate (স্নাতক/অনার্স),Secondary (মাধ্যমিক/এসএসসি),Self-employed (স্বনিয়োজিত),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
CE,KUET,2022,Male (পুরুষ),Public (সরকারি),Metropolitan city (বিভাগীয় শহর/মহানগর),Self-study (স্ব-অধ্যয়ন),Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),3 (৩),Middle child,Above 18 Lakhs (১৮ লাখের উপরে),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",Mobile Data (মোবাইল ডাটা),Available (সহজলভ্য),3.00 - 3.25 (৩.০০ - ৩.২৫),4th choice (৪র্থ পছন্দ),5th choice or lower (৫ম পছন্দ বা তার নিচে),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Secondary (মাধ্যমিক/এসএসসি),Armed forces / Law enforcement (সশস্ত্র বাহিনী),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
EEE,KUET,2022,Male (পুরুষ),Public (সরকারি),Semi-urban area (আধা-নগর এলাকা),Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),4 - 5 (৪ - ৫),Middle child,10- 18 Lakhs (১০ - ১৮ লাখ),"Less than 5,000 (৫,০০০ এর কম)",Mobile Data with limited Access (সীমিত সুবিধা),Unavailable (ছিল না),3.00 - 3.25 (৩.০০ - ৩.২৫),2nd choice (২য় পছন্দ),5th choice or lower (৫ম পছন্দ বা তার নিচে),Secondary (মাধ্যমিক/এসএসসি),Secondary (মাধ্যমিক/এসএসসি),Self-employed (স্বনিয়োজিত),Homemaker (গৃহকর্মে নিয়োজিত),Participated
EEE,SUST,2021,Female (নারী),Public (সরকারি),Rural area (Village) (গ্রামাঞ্চল),Self-study (স্ব-অধ্যয়ন),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),190 - 200 (১৯০ - ২০০),190 - 200 (১৯০ - ২০০),190 - 200 (১৯০ - ২০০),4 - 5 (৪ - ৫),Middle child,Less than 5  Lakhs (৫ লাখের কম),"Less than 5,000 (৫,০০০ এর কম)",Unavailable (ইন্টারনেট সুবিধা ছিল না),Available (সহজলভ্য),3.00 - 3.25 (৩.০০ - ৩.২৫),1st choice (১ম পছন্দ),2nd choice (২য় পছন্দ),Primary (প্রাথমিক),No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই),Public sector (সরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
ME,CU,2023,Male (পুরুষ),Private (বেসরকারি),Rural area (Village) (গ্রামাঞ্চল),Self-study (স্ব-অধ্যয়ন),Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি)),190 - 200 (১৯০ - ২০০),160 - 190 (১৬০ - ১৯০),190 - 200 (১৯০ - ২০০),4 - 5 (৪ - ৫),First-child,10- 18 Lakhs (১০ - ১৮ লাখ),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",Unavailable (ইন্টারনেট সুবিধা ছিল না),Available (সহজলভ্য),Above 3.75 (৩.৭৫ এর উপরে),5th choice or lower (৫ম পছন্দ বা তার নিচে),1st choice (১ম পছন্দ),Undergraduate (স্নাতক/অনার্স),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Public sector (সরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
CSE,AIUB,2022,Male (পুরুষ),Private (বেসরকারি),Metropolitan city (বিভাগীয় শহর/মহানগর),Both equally (উভয়ই সমানভাবে),Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),140 - 160 (১৪০ - ১৬০),4 - 5 (৪ - ৫),Middle child,Above 18 Lakhs (১৮ লাখের উপরে),"20,000 - 30,000 (২০,০০০ - ৩০,০০০)",WIFI Connectivity (উচ্চগতির ওয়াইফাই),Available (সহজলভ্য),3.00 - 3.25 (৩.০০ - ৩.২৫),4th choice (৪র্থ পছন্দ),2nd choice (২য় পছন্দ),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Private sector (বেসরকারি চাকরি),Public sector (সরকারি চাকরি),Participated
EEE,NSU,2022,Female (নারী),Private (বেসরকারি),Semi-urban area (আধা-নগর এলাকা),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Regularly (75–89%) (নিয়মিত (৭৫–৮৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),8 and above (৮ এবং তদূর্ধ্ব),Middle child,10- 18 Lakhs (১০ - ১৮ লাখ),"10,000 - 20,000 (১০,০০০ - ২০,০০০)",Mobile Data (মোবাইল ডাটা),Available (সহজলভ্য),3.25 - 3.50 (৩.২৫ - ৩.৫০),1st choice (১ম পছন্দ),3rd choice (৩য় পছন্দ),Undergraduate (স্নাতক/অনার্স),Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব),Public sector (সরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),NotParticipated
CSE,KU,2022,Male (পুরুষ),Public (সরকারি),Metropolitan city (বিভাগীয় শহর/মহানগর),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),2 (২),Last Child,10- 18 Lakhs (১০ - ১৮ লাখ),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",WIFI Connectivity (উচ্চগতির ওয়াইফাই),Available (সহজলভ্য),Above 3.75 (৩.৭৫ এর উপরে),4th choice (৪র্থ পছন্দ),2nd choice (২য় পছন্দ),Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি),Secondary (মাধ্যমিক/এসএসসি),Private sector (বেসরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),Participated
CSE,UIU,2023,Male (পুরুষ),Private (বেসরকারি),Urban area (City) (শহরাঞ্চল),Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর),Regularly (75–89%) (নিয়মিত (৭৫–৮৯%)),120 - 140 (১২০ - ১৪০),120 - 140 (১২০ - ১৪০),120 - 140 (১২০ - ১৪০),4 - 5 (৪ - ৫),Last Child,Less than 5  Lakhs (৫ লাখের কম),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",Mobile Data (মোবাইল ডাটা),Available (সহজলভ্য),3.50 - 3.75 (৩.৫০ - ৩.৭৫),2nd choice (২য় পছন্দ),1st choice (১ম পছন্দ),No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই),No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই),Public sector (সরকারি চাকরি),Homemaker (গৃহকর্মে নিয়োজিত),Participated
CE,SUST,2020,Female (নারী),Public (সরকারি),Semi-urban area (আধা-নগর এলাকা),Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব),Regularly (75–89%) (নিয়মিত (৭৫–৮৯%)),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),160 - 190 (১৬০ - ১৯০),6 - 7 (৬ - ৭),Last Child,Above 18 Lakhs (১৮ লাখের উপরে),"5,000 - 10,000 (৫,০০০ - ১০,০০০)",WIFI Connectivity (উচ্চগতির ওয়াইফাই),Unavailable (ছিল না),3.00 - 3.25 (৩.০০ - ৩.২৫),5th choice or lower (৫ম পছন্দ বা তার নিচে),5th choice or lower (৫ম পছন্দ বা তার নিচে),Secondary (মাধ্যমিক/এসএসসি),Secondary (মাধ্যমিক/এসএসসি),Armed forces / Law enforcement (সশস্ত্র বাহিনী),Business owner (ব্যবসা/উদ্যোক্তা),NotParticipated
