Model,Accuracy_percent,Kappa,Weighted_Precision,Weighted_Recall,Weighted_F1,Weighted_ROC_AUC,Weighted_PRC_AUC,Notes
ZeroR,28.0148,0.0,,0.28,,0.498,0.213,Majority-class baseline.
OneR,32.7929,0.0942,,0.328,,0.546,0.237,Single-rule baseline; selected HSCPhysics.
NaiveBayes,34.6985,0.1559,0.341,0.347,0.334,0.648,0.322,Captured clean-dataset run.
BayesNet,34.5848,0.1548,0.341,0.346,0.334,0.647,0.322,
Logistic,34.0728,0.1467,0.336,0.341,0.332,0.647,0.318,
SimpleLogistic,35.2958,0.1554,0.351,0.353,0.337,0.652,0.324,
SMO,33.9022,0.1439,0.342,0.339,0.332,0.641,0.293,
MultilayerPerceptron,56.0011,0.4402,0.56,0.56,0.56,0.757,0.533,
J48,52.6451,0.3969,0.53,0.526,0.525,0.757,0.483,Tree size 1902; 1496 leaves.
RandomForest baseline,60.3242,0.4855,0.634,0.603,0.604,0.863,0.724,"100 trees, K=0, M=1."
RandomTree,55.5461,0.4356,0.555,0.555,0.555,0.734,0.449,
REPTree,38.4812,0.2092,0.385,0.385,0.381,0.678,0.362,
Bagging + REPTree,50.9386,0.3691,0.515,0.509,0.508,0.769,0.552,
AdaBoostM1 + DecisionStump,30.5176,0.0502,,0.305,,0.542,0.234,"WEKA reported: No boosting possible, one classifier used."
LogitBoost,35.5518,0.1545,0.355,0.356,0.333,0.653,0.328,
RandomCommittee,58.248,0.4649,0.588,0.582,0.583,0.848,0.704,
RandomSubSpace,53.2139,0.3925,0.556,0.532,0.529,0.783,0.587,
IBk (K=1),57.281,0.4551,0.577,0.573,0.572,0.74,0.479,
KStar,58.0489,0.4639,0.581,0.58,0.579,0.851,0.702,
LWL + DecisionStump,34.1013,0.1158,,0.341,,0.648,0.325,Some weighted metrics undefined because not all classes predicted.
PART,50.9386,0.3752,0.509,0.509,0.509,0.747,0.469,
JRip,36.405,0.1449,0.42,0.364,0.307,0.61,0.309,
DecisionTable,38.3959,0.1863,0.459,0.384,0.343,0.644,0.335,
HoeffdingTree,34.6985,0.156,0.341,0.347,0.334,0.648,0.322,
LMT,58.1342,0.4677,0.581,0.581,0.581,0.781,0.544,
DecisionStump,30.5176,0.0502,,0.305,,0.542,0.234,Learned a simple HSCMath split.
ClassificationViaRegression + M5P,46.1604,0.3105,0.458,0.462,0.456,0.719,0.436,194 M5P rules.
